Timestep,Bus,Voltage (p.u.)
2012-07-07 22:00:00,bus_652003,1.0348
2012-07-07 22:00:00,bus_675001,1.0348
2012-07-07 22:00:00,bus_675002,1.0348
2012-07-07 22:00:00,bus_675003,1.0348
2012-07-07 22:30:00,sourcebus,1.035
2012-07-07 22:30:00,650_sec,1.035
2012-07-07 22:30:00,632_sec,1.0349
2012-07-07 22:30:00,645_sec,1.0349
2012-07-07 22:30:00,646_sec,1.0349
2012-07-07 22:30:00,633_sec,1.0349
2012-07-07 22:30:00,670_sec,1.0348
2012-07-07 22:30:00,671_sec,1.0348
2012-07-07 22:30:00,684_sec,1.0348
2012-07-07 22:30:00,652_sec,1.0348
2012-07-07 22:30:00,692_sec,1.0348
2012-07-07 22:30:00,675_sec,1.0348
2012-07-07 22:30:00,680_sec,1.0348
2012-07-07 22:30:00,bus_650001,1.035
2012-07-07 22:30:00,bus_650002,1.035
2012-07-07 22:30:00,bus_650003,1.035
2012-07-07 22:30:00,bus_650004,1.035
2012-07-07 22:30:00,bus_632001,1.0349
2012-07-07 22:30:00,bus_632002,1.0349
2012-07-07 22:30:00,bus_632003,1.0349
2012-07-07 22:30:00,bus_633001,1.0349
2012-07-07 22:30:00,bus_633002,1.0349
2012-07-07 22:30:00,bus_633003,1.0349
2012-07-07 22:30:00,bus_645001,1.0349
2012-07-07 22:30:00,bus_645002,1.0349
2012-07-07 22:30:00,bus_645003,1.0349
2012-07-07 22:30:00,bus_646001,1.0349
2012-07-07 22:30:00,bus_646002,1.0349
2012-07-07 22:30:00,bus_646003,1.0349
2012-07-07 22:30:00,bus_670001,1.0348
2012-07-07 22:30:00,bus_670002,0.6159
2012-07-07 22:30:00,bus_670003,1.0348
2012-07-07 22:30:00,bus_671001,1.0348
2012-07-07 22:30:00,bus_671002,1.0348
2012-07-07 22:30:00,bus_671003,1.0348
2012-07-07 22:30:00,bus_692001,1.0348
2012-07-07 22:30:00,bus_692002,1.0348
2012-07-07 22:30:00,bus_692003,1.0348
2012-07-07 22:30:00,bus_680001,1.0348
2012-07-07 22:30:00,bus_680002,1.0348
2012-07-07 22:30:00,bus_680003,1.0348
2012-07-07 22:30:00,bus_684001,1.0348
2012-07-07 22:30:00,bus_684002,1.0348
2012-07-07 22:30:00,bus_684003,1.0348
2012-07-07 22:30:00,611_sec,0.0
2012-07-07 22:30:00,bus_611001,0.0
2012-07-07 22:30:00,bus_611002,0.0
2012-07-07 22:30:00,bus_611003,0.0
2012-07-07 22:30:00,bus_652001,1.0348
2012-07-07 22:30:00,bus_652002,1.0348
2012-07-07 22:30:00,bus_652003,1.0348
2012-07-07 22:30:00,bus_675001,1.0348
2012-07-07 22:30:00,bus_675002,1.0348
2012-07-07 22:30:00,bus_675003,1.0348
2012-07-07 23:00:00,sourcebus,1.035
2012-07-07 23:00:00,650_sec,1.035
2012-07-07 23:00:00,632_sec,1.0349
2012-07-07 23:00:00,645_sec,1.0349
2012-07-07 23:00:00,646_sec,1.0349
2012-07-07 23:00:00,633_sec,1.0349
2012-07-07 23:00:00,670_sec,1.0348
2012-07-07 23:00:00,671_sec,1.0348
2012-07-07 23:00:00,684_sec,1.0348
2012-07-07 23:00:00,652_sec,1.0348
2012-07-07 23:00:00,692_sec,1.0348
2012-07-07 23:00:00,675_sec,1.0348
2012-07-07 23:00:00,680_sec,1.0348
2012-07-07 23:00:00,bus_650001,1.035
2012-07-07 23:00:00,bus_650002,1.035
2012-07-07 23:00:00,bus_650003,1.035
2012-07-07 23:00:00,bus_650004,1.035
2012-07-07 23:00:00,bus_632001,1.0349
2012-07-07 23:00:00,bus_632002,1.0349
2012-07-07 23:00:00,bus_632003,1.0349
2012-07-07 23:00:00,bus_633001,1.0349
2012-07-07 23:00:00,bus_633002,1.0349
2012-07-07 23:00:00,bus_633003,1.0349
2012-07-07 23:00:00,bus_645001,1.0349
2012-07-07 23:00:00,bus_645002,1.0349
2012-07-07 23:00:00,bus_645003,1.0349
2012-07-07 23:00:00,bus_646001,1.0349
2012-07-07 23:00:00,bus_646002,1.0349
2012-07-07 23:00:00,bus_646003,1.0349
2012-07-07 23:00:00,bus_670001,1.0348
2012-07-07 23:00:00,bus_670002,0.6159
2012-07-07 23:00:00,bus_670003,1.0348
2012-07-07 23:00:00,bus_671001,1.0348
2012-07-07 23:00:00,bus_671002,1.0348
2012-07-07 23:00:00,bus_671003,1.0348
2012-07-07 23:00:00,bus_692001,1.0348
2012-07-07 23:00:00,bus_692002,1.0348
2012-07-07 23:00:00,bus_692003,1.0348
2012-07-07 23:00:00,bus_680001,1.0348
2012-07-07 23:00:00,bus_680002,1.0348
2012-07-07 23:00:00,bus_680003,1.0348
2012-07-07 23:00:00,bus_684001,1.0348
2012-07-07 23:00:00,bus_684002,1.0348
2012-07-07 23:00:00,bus_684003,1.0348
2012-07-07 23:00:00,611_sec,0.0
2012-07-07 23:00:00,bus_611001,0.0
2012-07-07 23:00:00,bus_611002,0.0
2012-07-07 23:00:00,bus_611003,0.0
2012-07-07 23:00:00,bus_652001,1.0348
2012-07-07 23:00:00,bus_652002,1.0348
2012-07-07 23:00:00,bus_652003,1.0348
2012-07-07 23:00:00,bus_675001,1.0348
2012-07-07 23:00:00,bus_675002,1.0348
2012-07-07 23:00:00,bus_675003,1.0348
2012-07-07 23:30:00,sourcebus,1.035
2012-07-07 23:30:00,650_sec,1.035
2012-07-07 23:30:00,632_sec,1.0349
2012-07-07 23:30:00,645_sec,1.0349
2012-07-07 23:30:00,646_sec,1.0349
2012-07-07 23:30:00,633_sec,1.0349
2012-07-07 23:30:00,670_sec,1.0348
2012-07-07 23:30:00,671_sec,1.0348
2012-07-07 23:30:00,684_sec,1.0348
2012-07-07 23:30:00,652_sec,1.0348
2012-07-07 23:30:00,692_sec,1.0348
2012-07-07 23:30:00,675_sec,1.0348
2012-07-07 23:30:00,680_sec,1.0348
2012-07-07 23:30:00,bus_650001,1.035
2012-07-07 23:30:00,bus_650002,1.035
2012-07-07 23:30:00,bus_650003,1.035
2012-07-07 23:30:00,bus_650004,1.035
2012-07-07 23:30:00,bus_632001,1.0349
2012-07-07 23:30:00,bus_632002,1.0349
2012-07-07 23:30:00,bus_632003,1.0349
2012-07-07 23:30:00,bus_633001,1.0349
2012-07-07 23:30:00,bus_633002,1.0349
2012-07-07 23:30:00,bus_633003,1.0349
2012-07-07 23:30:00,bus_645001,1.0349
2012-07-07 23:30:00,bus_645002,1.0349
2012-07-07 23:30:00,bus_645003,1.0349
2012-07-07 23:30:00,bus_646001,1.0349
2012-07-07 23:30:00,bus_646002,1.0349
2012-07-07 23:30:00,bus_646003,1.0349
2012-07-07 23:30:00,bus_670001,1.0348
2012-07-07 23:30:00,bus_670002,0.6159
2012-07-07 23:30:00,bus_670003,1.0348
2012-07-07 23:30:00,bus_671001,1.0348
2012-07-07 23:30:00,bus_671002,1.0348
2012-07-07 23:30:00,bus_671003,1.0348
2012-07-07 23:30:00,bus_692001,1.0348
2012-07-07 23:30:00,bus_692002,1.0348
2012-07-07 23:30:00,bus_692003,1.0348
2012-07-07 23:30:00,bus_680001,1.0348
2012-07-07 23:30:00,bus_680002,1.0348
2012-07-07 23:30:00,bus_680003,1.0348
2012-07-07 23:30:00,bus_684001,1.0348
2012-07-07 23:30:00,bus_684002,1.0348
2012-07-07 23:30:00,bus_684003,1.0348
2012-07-07 23:30:00,611_sec,0.0
2012-07-07 23:30:00,bus_611001,0.0
2012-07-07 23:30:00,bus_611002,0.0
2012-07-07 23:30:00,bus_611003,0.0
2012-07-07 23:30:00,bus_652001,1.0348
2012-07-07 23:30:00,bus_652002,1.0348
2012-07-07 23:30:00,bus_652003,1.0348
2012-07-07 23:30:00,bus_675001,1.0348
2012-07-07 23:30:00,bus_675002,1.0348
2012-07-07 23:30:00,bus_675003,1.0348
2012-07-08 00:00:00,sourcebus,1.035
2012-07-08 00:00:00,650_sec,1.035
2012-07-08 00:00:00,632_sec,1.0349
2012-07-08 00:00:00,645_sec,1.0349
2012-07-08 00:00:00,646_sec,1.0349
2012-07-08 00:00:00,633_sec,1.0349
2012-07-08 00:00:00,670_sec,1.0348
2012-07-08 00:00:00,671_sec,1.0348
2012-07-08 00:00:00,684_sec,1.0348
2012-07-08 00:00:00,652_sec,1.0348
2012-07-08 00:00:00,692_sec,1.0348
2012-07-08 00:00:00,675_sec,1.0348
2012-07-08 00:00:00,680_sec,1.0348
2012-07-08 00:00:00,bus_650001,1.035
2012-07-08 00:00:00,bus_650002,1.035
2012-07-08 00:00:00,bus_650003,1.035
2012-07-08 00:00:00,bus_650004,1.035
2012-07-08 00:00:00,bus_632001,1.0349
2012-07-08 00:00:00,bus_632002,1.0349
2012-07-08 00:00:00,bus_632003,1.0349
2012-07-08 00:00:00,bus_633001,1.0349
2012-07-08 00:00:00,bus_633002,1.0349
2012-07-08 00:00:00,bus_633003,1.0349
2012-07-08 00:00:00,bus_645001,1.0349
2012-07-08 00:00:00,bus_645002,1.0349
2012-07-08 00:00:00,bus_645003,1.0349
2012-07-08 00:00:00,bus_646001,1.0349
2012-07-08 00:00:00,bus_646002,1.0349
2012-07-08 00:00:00,bus_646003,1.0349
2012-07-08 00:00:00,bus_670001,1.0348
2012-07-08 00:00:00,bus_670002,0.6159
2012-07-08 00:00:00,bus_670003,1.0348
2012-07-08 00:00:00,bus_671001,1.0348
2012-07-08 00:00:00,bus_671002,1.0348
2012-07-08 00:00:00,bus_671003,1.0348
2012-07-08 00:00:00,bus_692001,1.0348
2012-07-08 00:00:00,bus_692002,1.0348
2012-07-08 00:00:00,bus_692003,1.0348
2012-07-08 00:00:00,bus_680001,1.0348
2012-07-08 00:00:00,bus_680002,1.0348
2012-07-08 00:00:00,bus_680003,1.0348
2012-07-08 00:00:00,bus_684001,1.0348
2012-07-08 00:00:00,bus_684002,1.0348
2012-07-08 00:00:00,bus_684003,1.0348
2012-07-08 00:00:00,611_sec,0.0
2012-07-08 00:00:00,bus_611001,0.0
2012-07-08 00:00:00,bus_611002,0.0
2012-07-08 00:00:00,bus_611003,0.0
2012-07-08 00:00:00,bus_652001,1.0348
2012-07-08 00:00:00,bus_652002,1.0348
2012-07-08 00:00:00,bus_652003,1.0348
2012-07-08 00:00:00,bus_675001,1.0348
2012-07-08 00:00:00,bus_675002,1.0348
2012-07-08 00:00:00,bus_675003,1.0348
2012-07-08 00:30:00,sourcebus,1.035
2012-07-08 00:30:00,650_sec,1.035
2012-07-08 00:30:00,632_sec,1.0349
2012-07-08 00:30:00,645_sec,1.0349
2012-07-08 00:30:00,646_sec,1.0349
2012-07-08 00:30:00,633_sec,1.0349
2012-07-08 00:30:00,670_sec,1.0348
2012-07-08 00:30:00,671_sec,1.0348
2012-07-08 00:30:00,684_sec,1.0348
2012-07-08 00:30:00,652_sec,1.0348
2012-07-08 00:30:00,692_sec,1.0348
2012-07-08 00:30:00,675_sec,1.0348
2012-07-08 00:30:00,680_sec,1.0348
2012-07-08 00:30:00,bus_650001,1.035
2012-07-08 00:30:00,bus_650002,1.035
2012-07-08 00:30:00,bus_650003,1.035
2012-07-08 00:30:00,bus_650004,1.035
2012-07-08 00:30:00,bus_632001,1.0349
2012-07-08 00:30:00,bus_632002,1.0349
2012-07-08 00:30:00,bus_632003,1.0349
2012-07-08 00:30:00,bus_633001,1.0349
2012-07-08 00:30:00,bus_633002,1.0349
2012-07-08 00:30:00,bus_633003,1.0349
2012-07-08 00:30:00,bus_645001,1.0349
2012-07-08 00:30:00,bus_645002,1.0349
2012-07-08 00:30:00,bus_645003,1.0349
2012-07-08 00:30:00,bus_646001,1.0349
2012-07-08 00:30:00,bus_646002,1.0349
2012-07-08 00:30:00,bus_646003,1.0349
2012-07-08 00:30:00,bus_670001,1.0348
2012-07-08 00:30:00,bus_670002,0.6159
2012-07-08 00:30:00,bus_670003,1.0348
2012-07-08 00:30:00,bus_671001,1.0348
2012-07-08 00:30:00,bus_671002,1.0348
2012-07-08 00:30:00,bus_671003,1.0348
2012-07-08 00:30:00,bus_692001,1.0348
2012-07-08 00:30:00,bus_692002,1.0348
2012-07-08 00:30:00,bus_692003,1.0348
2012-07-08 00:30:00,bus_680001,1.0348
2012-07-08 00:30:00,bus_680002,1.0348
2012-07-08 00:30:00,bus_680003,1.0348
2012-07-08 00:30:00,bus_684001,1.0348
2012-07-08 00:30:00,bus_684002,1.0348
2012-07-08 00:30:00,bus_684003,1.0348
2012-07-08 00:30:00,611_sec,0.0
2012-07-08 00:30:00,bus_611001,0.0
2012-07-08 00:30:00,bus_611002,0.0
2012-07-08 00:30:00,bus_611003,0.0
2012-07-08 00:30:00,bus_652001,1.0348
2012-07-08 00:30:00,bus_652002,1.0348
2012-07-08 00:30:00,bus_652003,1.0348
2012-07-08 00:30:00,bus_675001,1.0348
2012-07-08 00:30:00,bus_675002,1.0348
2012-07-08 00:30:00,bus_675003,1.0348
2012-07-08 01:00:00,sourcebus,1.035
2012-07-08 01:00:00,650_sec,1.035
2012-07-08 01:00:00,632_sec,1.0349
2012-07-08 01:00:00,645_sec,1.0349
2012-07-08 01:00:00,646_sec,1.0349
2012-07-08 01:00:00,633_sec,1.0349
2012-07-08 01:00:00,670_sec,1.0348
2012-07-08 01:00:00,671_sec,1.0348
2012-07-08 01:00:00,684_sec,1.0348
2012-07-08 01:00:00,652_sec,1.0348
2012-07-08 01:00:00,692_sec,1.0348
2012-07-08 01:00:00,675_sec,1.0348
2012-07-08 01:00:00,680_sec,1.0348
2012-07-08 01:00:00,bus_650001,1.035
2012-07-08 01:00:00,bus_650002,1.035
2012-07-08 01:00:00,bus_650003,1.035
2012-07-08 01:00:00,bus_650004,1.035
2012-07-08 01:00:00,bus_632001,1.0349
2012-07-08 01:00:00,bus_632002,1.0349
2012-07-08 01:00:00,bus_632003,1.0349
2012-07-08 01:00:00,bus_633001,1.0349
2012-07-08 01:00:00,bus_633002,1.0349
2012-07-08 01:00:00,bus_633003,1.0349
2012-07-08 01:00:00,bus_645001,1.0349
2012-07-08 01:00:00,bus_645002,1.0349
2012-07-08 01:00:00,bus_645003,1.0349
2012-07-08 01:00:00,bus_646001,1.0349
2012-07-08 01:00:00,bus_646002,1.0349
2012-07-08 01:00:00,bus_646003,1.0349
2012-07-08 01:00:00,bus_670001,1.0348
2012-07-08 01:00:00,bus_670002,0.6159
2012-07-08 01:00:00,bus_670003,1.0348
2012-07-08 01:00:00,bus_671001,1.0348
2012-07-08 01:00:00,bus_671002,1.0348
2012-07-08 01:00:00,bus_671003,1.0348
2012-07-08 01:00:00,bus_692001,1.0348
2012-07-08 01:00:00,bus_692002,1.0348
2012-07-08 01:00:00,bus_692003,1.0348
2012-07-08 01:00:00,bus_680001,1.0348
2012-07-08 01:00:00,bus_680002,1.0348
2012-07-08 01:00:00,bus_680003,1.0348
2012-07-08 01:00:00,bus_684001,1.0348
2012-07-08 01:00:00,bus_684002,1.0348
2012-07-08 01:00:00,bus_684003,1.0348
2012-07-08 01:00:00,611_sec,0.0
2012-07-08 01:00:00,bus_611001,0.0
2012-07-08 01:00:00,bus_611002,0.0
2012-07-08 01:00:00,bus_611003,0.0
2012-07-08 01:00:00,bus_652001,1.0348
2012-07-08 01:00:00,bus_652002,1.0348
2012-07-08 01:00:00,bus_652003,1.0348
2012-07-08 01:00:00,bus_675001,1.0348
2012-07-08 01:00:00,bus_675002,1.0348
2012-07-08 01:00:00,bus_675003,1.0348
2012-07-08 01:30:00,sourcebus,1.035
2012-07-08 01:30:00,650_sec,1.035
2012-07-08 01:30:00,632_sec,1.0349
2012-07-08 01:30:00,645_sec,1.0349
2012-07-08 01:30:00,646_sec,1.0349
2012-07-08 01:30:00,633_sec,1.0349
2012-07-08 01:30:00,670_sec,1.0348
2012-07-08 01:30:00,671_sec,1.0348
2012-07-08 01:30:00,684_sec,1.0348
2012-07-08 01:30:00,652_sec,1.0348
2012-07-08 01:30:00,692_sec,1.0348
2012-07-08 01:30:00,675_sec,1.0348
2012-07-08 01:30:00,680_sec,1.0348
2012-07-08 01:30:00,bus_650001,1.035
2012-07-08 01:30:00,bus_650002,1.035
2012-07-08 01:30:00,bus_650003,1.035
2012-07-08 01:30:00,bus_650004,1.035
2012-07-08 01:30:00,bus_632001,1.0349
2012-07-08 01:30:00,bus_632002,1.0349
2012-07-08 01:30:00,bus_632003,1.0349
2012-07-08 01:30:00,bus_633001,1.0349
2012-07-08 01:30:00,bus_633002,1.0349
2012-07-08 01:30:00,bus_633003,1.0349
2012-07-08 01:30:00,bus_645001,1.0349
2012-07-08 01:30:00,bus_645002,1.0349
2012-07-08 01:30:00,bus_645003,1.0349
2012-07-08 01:30:00,bus_646001,1.0349
2012-07-08 01:30:00,bus_646002,1.0349
2012-07-08 01:30:00,bus_646003,1.0349
2012-07-08 01:30:00,bus_670001,1.0348
2012-07-08 01:30:00,bus_670002,0.6159
2012-07-08 01:30:00,bus_670003,1.0348
2012-07-08 01:30:00,bus_671001,1.0348
2012-07-08 01:30:00,bus_671002,1.0348
2012-07-08 01:30:00,bus_671003,1.0348
2012-07-08 01:30:00,bus_692001,1.0348
2012-07-08 01:30:00,bus_692002,1.0348
2012-07-08 01:30:00,bus_692003,1.0348
2012-07-08 01:30:00,bus_680001,1.0348
2012-07-08 01:30:00,bus_680002,1.0348
2012-07-08 01:30:00,bus_680003,1.0348
2012-07-08 01:30:00,bus_684001,1.0348
2012-07-08 01:30:00,bus_684002,1.0348
2012-07-08 01:30:00,bus_684003,1.0348
2012-07-08 01:30:00,611_sec,0.0
2012-07-08 01:30:00,bus_611001,0.0
2012-07-08 01:30:00,bus_611002,0.0
2012-07-08 01:30:00,bus_611003,0.0
2012-07-08 01:30:00,bus_652001,1.0348
2012-07-08 01:30:00,bus_652002,1.0348
2012-07-08 01:30:00,bus_652003,1.0348
2012-07-08 01:30:00,bus_675001,1.0348
2012-07-08 01:30:00,bus_675002,1.0348
2012-07-08 01:30:00,bus_675003,1.0348
2012-07-08 02:00:00,sourcebus,1.035
2012-07-08 02:00:00,650_sec,1.035
2012-07-08 02:00:00,632_sec,1.0349
2012-07-08 02:00:00,645_sec,1.0349
2012-07-08 02:00:00,646_sec,1.0349
2012-07-08 02:00:00,633_sec,1.0349
2012-07-08 02:00:00,670_sec,1.0348
2012-07-08 02:00:00,671_sec,1.0348
2012-07-08 02:00:00,684_sec,1.0348
2012-07-08 02:00:00,652_sec,1.0348
2012-07-08 02:00:00,692_sec,1.0348
2012-07-08 02:00:00,675_sec,1.0348
2012-07-08 02:00:00,680_sec,1.0348
2012-07-08 02:00:00,bus_650001,1.035
2012-07-08 02:00:00,bus_650002,1.035
2012-07-08 02:00:00,bus_650003,1.035
2012-07-08 02:00:00,bus_650004,1.035
2012-07-08 02:00:00,bus_632001,1.0349
2012-07-08 02:00:00,bus_632002,1.0349
2012-07-08 02:00:00,bus_632003,1.0349
2012-07-08 02:00:00,bus_633001,1.0349
2012-07-08 02:00:00,bus_633002,1.0349
2012-07-08 02:00:00,bus_633003,1.0349
2012-07-08 02:00:00,bus_645001,1.0349
2012-07-08 02:00:00,bus_645002,1.0349
2012-07-08 02:00:00,bus_645003,1.0349
2012-07-08 02:00:00,bus_646001,1.0349
2012-07-08 02:00:00,bus_646002,1.0349
2012-07-08 02:00:00,bus_646003,1.0349
2012-07-08 02:00:00,bus_670001,1.0348
2012-07-08 02:00:00,bus_670002,0.6159
2012-07-08 02:00:00,bus_670003,1.0348
2012-07-08 02:00:00,bus_671001,1.0348
2012-07-08 02:00:00,bus_671002,1.0348
2012-07-08 02:00:00,bus_671003,1.0348
2012-07-08 02:00:00,bus_692001,1.0348
2012-07-08 02:00:00,bus_692002,1.0348
2012-07-08 02:00:00,bus_692003,1.0348
2012-07-08 02:00:00,bus_680001,1.0348
2012-07-08 02:00:00,bus_680002,1.0348
2012-07-08 02:00:00,bus_680003,1.0348
2012-07-08 02:00:00,bus_684001,1.0348
2012-07-08 02:00:00,bus_684002,1.0348
2012-07-08 02:00:00,bus_684003,1.0348
2012-07-08 02:00:00,611_sec,0.0
2012-07-08 02:00:00,bus_611001,0.0
2012-07-08 02:00:00,bus_611002,0.0
2012-07-08 02:00:00,bus_611003,0.0
2012-07-08 02:00:00,bus_652001,1.0348
2012-07-08 02:00:00,bus_652002,1.0348
2012-07-08 02:00:00,bus_652003,1.0348
2012-07-08 02:00:00,bus_675001,1.0348
2012-07-08 02:00:00,bus_675002,1.0348
2012-07-08 02:00:00,bus_675003,1.0348
2012-07-08 02:30:00,sourcebus,1.035
2012-07-08 02:30:00,650_sec,1.035
2012-07-08 02:30:00,632_sec,1.0349
2012-07-08 02:30:00,645_sec,1.0349
2012-07-08 02:30:00,646_sec,1.0349
2012-07-08 02:30:00,633_sec,1.0349
2012-07-08 02:30:00,670_sec,1.0348
2012-07-08 02:30:00,671_sec,1.0348
2012-07-08 02:30:00,684_sec,1.0348
2012-07-08 02:30:00,652_sec,1.0348
2012-07-08 02:30:00,692_sec,1.0348
2012-07-08 02:30:00,675_sec,1.0348
2012-07-08 02:30:00,680_sec,1.0348
2012-07-08 02:30:00,bus_650001,1.035
2012-07-08 02:30:00,bus_650002,1.035
2012-07-08 02:30:00,bus_650003,1.035
2012-07-08 02:30:00,bus_650004,1.035
2012-07-08 02:30:00,bus_632001,1.0349
2012-07-08 02:30:00,bus_632002,1.0349
2012-07-08 02:30:00,bus_632003,1.0349
2012-07-08 02:30:00,bus_633001,1.0349
2012-07-08 02:30:00,bus_633002,1.0349
2012-07-08 02:30:00,bus_633003,1.0349
2012-07-08 02:30:00,bus_645001,1.0349
2012-07-08 02:30:00,bus_645002,1.0349
2012-07-08 02:30:00,bus_645003,1.0349
2012-07-08 02:30:00,bus_646001,1.0349
2012-07-08 02:30:00,bus_646002,1.0349
2012-07-08 02:30:00,bus_646003,1.0349
2012-07-08 02:30:00,bus_670001,1.0348
2012-07-08 02:30:00,bus_670002,0.6159
2012-07-08 02:30:00,bus_670003,1.0348
2012-07-08 02:30:00,bus_671001,1.0348
2012-07-08 02:30:00,bus_671002,1.0348
2012-07-08 02:30:00,bus_671003,1.0348
2012-07-08 02:30:00,bus_692001,1.0348
2012-07-08 02:30:00,bus_692002,1.0348
2012-07-08 02:30:00,bus_692003,1.0348
2012-07-08 02:30:00,bus_680001,1.0348
2012-07-08 02:30:00,bus_680002,1.0348
2012-07-08 02:30:00,bus_680003,1.0348
2012-07-08 02:30:00,bus_684001,1.0348
2012-07-08 02:30:00,bus_684002,1.0348
2012-07-08 02:30:00,bus_684003,1.0348
2012-07-08 02:30:00,611_sec,0.0
2012-07-08 02:30:00,bus_611001,0.0
2012-07-08 02:30:00,bus_611002,0.0
2012-07-08 02:30:00,bus_611003,0.0
2012-07-08 02:30:00,bus_652001,1.0348
2012-07-08 02:30:00,bus_652002,1.0348
2012-07-08 02:30:00,bus_652003,1.0348
2012-07-08 02:30:00,bus_675001,1.0348
2012-07-08 02:30:00,bus_675002,1.0348
2012-07-08 02:30:00,bus_675003,1.0348
2012-07-08 03:00:00,sourcebus,1.035
2012-07-08 03:00:00,650_sec,1.035
2012-07-08 03:00:00,632_sec,1.0349
2012-07-08 03:00:00,645_sec,1.0349
2012-07-08 03:00:00,646_sec,1.0349
2012-07-08 03:00:00,633_sec,1.0349
2012-07-08 03:00:00,670_sec,1.0348
2012-07-08 03:00:00,671_sec,1.0348
2012-07-08 03:00:00,684_sec,1.0348
2012-07-08 03:00:00,652_sec,1.0348
2012-07-08 03:00:00,692_sec,1.0348
2012-07-08 03:00:00,675_sec,1.0348
2012-07-08 03:00:00,680_sec,1.0348
2012-07-08 03:00:00,bus_650001,1.035
2012-07-08 03:00:00,bus_650002,1.035
2012-07-08 03:00:00,bus_650003,1.035
2012-07-08 03:00:00,bus_650004,1.035
2012-07-08 03:00:00,bus_632001,1.0349
2012-07-08 03:00:00,bus_632002,1.0349
2012-07-08 03:00:00,bus_632003,1.0349
2012-07-08 03:00:00,bus_633001,1.0349
2012-07-08 03:00:00,bus_633002,1.0349
2012-07-08 03:00:00,bus_633003,1.0349
2012-07-08 03:00:00,bus_645001,1.0349
2012-07-08 03:00:00,bus_645002,1.0349
2012-07-08 03:00:00,bus_645003,1.0349
2012-07-08 03:00:00,bus_646001,1.0349
2012-07-08 03:00:00,bus_646002,1.0349
2012-07-08 03:00:00,bus_646003,1.0349
2012-07-08 03:00:00,bus_670001,1.0348
2012-07-08 03:00:00,bus_670002,0.6159
2012-07-08 03:00:00,bus_670003,1.0348
2012-07-08 03:00:00,bus_671001,1.0348
2012-07-08 03:00:00,bus_671002,1.0348
2012-07-08 03:00:00,bus_671003,1.0348
2012-07-08 03:00:00,bus_692001,1.0348
2012-07-08 03:00:00,bus_692002,1.0348
2012-07-08 03:00:00,bus_692003,1.0348
2012-07-08 03:00:00,bus_680001,1.0348
2012-07-08 03:00:00,bus_680002,1.0348
2012-07-08 03:00:00,bus_680003,1.0348
2012-07-08 03:00:00,bus_684001,1.0348
2012-07-08 03:00:00,bus_684002,1.0348
2012-07-08 03:00:00,bus_684003,1.0348
2012-07-08 03:00:00,611_sec,0.0
2012-07-08 03:00:00,bus_611001,0.0
2012-07-08 03:00:00,bus_611002,0.0
2012-07-08 03:00:00,bus_611003,0.0
2012-07-08 03:00:00,bus_652001,1.0348
2012-07-08 03:00:00,bus_652002,1.0348
2012-07-08 03:00:00,bus_652003,1.0348
2012-07-08 03:00:00,bus_675001,1.0348
2012-07-08 03:00:00,bus_675002,1.0348
2012-07-08 03:00:00,bus_675003,1.0348
2012-07-08 03:30:00,sourcebus,1.035
2012-07-08 03:30:00,650_sec,1.035
2012-07-08 03:30:00,632_sec,1.0349
2012-07-08 03:30:00,645_sec,1.0349
2012-07-08 03:30:00,646_sec,1.0349
2012-07-08 03:30:00,633_sec,1.0349
2012-07-08 03:30:00,670_sec,1.0348
2012-07-08 03:30:00,671_sec,1.0348
2012-07-08 03:30:00,684_sec,1.0348
2012-07-08 03:30:00,652_sec,1.0348
2012-07-08 03:30:00,692_sec,1.0348
2012-07-08 03:30:00,675_sec,1.0348
2012-07-08 03:30:00,680_sec,1.0348
2012-07-08 03:30:00,bus_650001,1.035
2012-07-08 03:30:00,bus_650002,1.035
2012-07-08 03:30:00,bus_650003,1.035
2012-07-08 03:30:00,bus_650004,1.035
2012-07-08 03:30:00,bus_632001,1.0349
2012-07-08 03:30:00,bus_632002,1.0349
2012-07-08 03:30:00,bus_632003,1.0349
2012-07-08 03:30:00,bus_633001,1.0349
2012-07-08 03:30:00,bus_633002,1.0349
2012-07-08 03:30:00,bus_633003,1.0349
2012-07-08 03:30:00,bus_645001,1.0349
2012-07-08 03:30:00,bus_645002,1.0349
2012-07-08 03:30:00,bus_645003,1.0349
2012-07-08 03:30:00,bus_646001,1.0349
2012-07-08 03:30:00,bus_646002,1.0349
2012-07-08 03:30:00,bus_646003,1.0349
2012-07-08 03:30:00,bus_670001,1.0348
2012-07-08 03:30:00,bus_670002,0.6159
2012-07-08 03:30:00,bus_670003,1.0348
2012-07-08 03:30:00,bus_671001,1.0348
2012-07-08 03:30:00,bus_671002,1.0348
2012-07-08 03:30:00,bus_671003,1.0348
2012-07-08 03:30:00,bus_692001,1.0348
2012-07-08 03:30:00,bus_692002,1.0348
2012-07-08 03:30:00,bus_692003,1.0348
2012-07-08 03:30:00,bus_680001,1.0348
2012-07-08 03:30:00,bus_680002,1.0348
2012-07-08 03:30:00,bus_680003,1.0348
2012-07-08 03:30:00,bus_684001,1.0348
2012-07-08 03:30:00,bus_684002,1.0348
2012-07-08 03:30:00,bus_684003,1.0348
2012-07-08 03:30:00,611_sec,0.0
2012-07-08 03:30:00,bus_611001,0.0
2012-07-08 03:30:00,bus_611002,0.0
2012-07-08 03:30:00,bus_611003,0.0
2012-07-08 03:30:00,bus_652001,1.0348
